route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,agency_raw_name,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,arrival_h,arrival_m,departure_h,departure_m,tod,trip_num_x,trip_num_y,trip_num
5904,4,202250,541-LINCOLN-AMTRAK STATION-DTC,0,24490,26192,sjrtd_2015_0127,39420.0,39420.0,3296,1,,0,0,,10,57,10,57,MD,4,,4.0
5904,4,202254,541-LINCOLN-AMTRAK STATION-DTC,0,24490,26192,sjrtd_2015_0127,55620.0,55620.0,3296,1,,0,0,,15,27,15,27,PM,3,,3.0
5904,4,202257,541-LINCOLN-AMTRAK STATION-DTC,0,24491,26192,sjrtd_2015_0127,71220.0,71220.0,3296,1,,0,0,,19,47,19,47,NT,1,1.0,1.0
5904,4,202258,,1,24490,26194,sjrtd_2015_0127,20100.0,20100.0,2637,1,,0,0,,5,35,5,35,EA,1,1.0,1.0
5904,4,202259,542-SAN JOAQUIN-HOUSTON,1,24490,26193,sjrtd_2015_0127,21840.0,21840.0,2491,1,,0,0,,6,4,6,4,AM,4,,4.0
5904,4,202263,542-SAN JOAQUIN-HOUSTON,1,24490,26193,sjrtd_2015_0127,37260.0,37260.0,2491,1,,0,0,,10,21,10,21,MD,5,,5.0
5904,4,202268,542-SAN JOAQUIN-HOUSTON,1,24490,26193,sjrtd_2015_0127,57360.0,57360.0,2491,1,,0,0,,15,56,15,56,PM,2,,2.0
5904,4,202270,542-SAN JOAQUIN-HOUSTON,1,24491,26193,sjrtd_2015_0127,69060.0,69060.0,2491,1,,0,0,,19,11,19,11,NT,1,1.0,1.0
5905,4,202273,551-MLK BLVD-STANISLAUS-DTC,0,24617,26195,sjrtd_2015_0127,20400.0,20400.0,2647,1,,0,0,,5,40,5,40,EA,1,1.0,1.0
5905,4,202274,551-MLK BLVD-STANISLAUS-DTC,0,24617,26195,sjrtd_2015_0127,23700.0,23700.0,2647,1,,0,0,,6,35,6,35,AM,4,,4.0
5905,4,202278,551-MLK BLVD-STANISLAUS-DTC,0,24617,26195,sjrtd_2015_0127,39000.0,39000.0,2647,1,,0,0,,10,50,10,50,MD,5,,5.0
5905,4,202272,551-MLK BLVD-STANISLAUS-DTC,0,24617,26195,sjrtd_2015_0127,57900.0,57900.0,2647,1,,0,0,,16,5,16,5,PM,3,,3.0
5905,4,202271,551-MLK BLVD-STANISLAUS-DTC,0,24617,26195,sjrtd_2015_0127,68700.0,68700.0,2647,1,,0,0,,19,5,19,5,NT,1,1.0,1.0
5905,4,202285,552-WESTON RANCH,1,24617,26196,sjrtd_2015_0127,19740.0,19740.0,3013,1,,0,0,,5,29,5,29,EA,1,1.0,1.0
5905,4,202286,552-MLK-STANISLAUS-DTC,1,24617,26197,sjrtd_2015_0127,21840.0,21840.0,2493,1,,0,0,,6,4,6,4,AM,4,,4.0
5905,4,202290,552-MLK-STANISLAUS-DTC,1,24617,26197,sjrtd_2015_0127,36900.0,36900.0,2493,1,,0,0,,10,15,10,15,MD,5,,5.0
5905,4,202291,552-MLK-STANISLAUS-DTC,1,24617,26197,sjrtd_2015_0127,55800.0,55800.0,2493,1,,0,0,,15,30,15,30,PM,4,,4.0
5906,4,202301,,0,24493,26198,sjrtd_2015_0127,33300.0,33300.0,3330,1,,0,0,,9,15,9,15,AM,3,,3.0
5906,4,202302,,0,24493,26198,sjrtd_2015_0127,38100.0,38100.0,3330,1,,0,0,,10,35,10,35,MD,4,,4.0
5906,4,202306,,0,24493,26198,sjrtd_2015_0127,56340.0,56340.0,3330,1,,0,0,,15,39,15,39,PM,4,,4.0
5906,4,202314,,1,24493,26201,sjrtd_2015_0127,22680.0,22680.0,3196,1,,0,0,,6,18,6,18,AM,3,,3.0
5906,4,202317,,1,24493,26201,sjrtd_2015_0127,36000.0,36000.0,3196,1,,0,0,,10,0,10,0,MD,4,,4.0
5906,4,202321,,1,24493,26201,sjrtd_2015_0127,54240.0,54240.0,3196,1,,0,0,,15,4,15,4,PM,4,,4.0
5907,4,202337,602-MONTE DIABLO-PIXIE WOODS,0,24497,26205,sjrtd_2015_0127,25500.0,25500.0,2493,1,,0,0,,7,5,7,5,AM,5,,5.0
5907,4,202331,603-MONTE DIABLO-PIXIE WOODS via LINCOLN WATERFRONT,0,24495,26204,sjrtd_2015_0127,46200.0,46200.0,2493,1,,0,0,,12,50,12,50,MD,4,,4.0
5907,4,202334,603-MONTE DIABLO-PIXIE WOODS via LINCOLN WATERFRONT,0,24496,26204,sjrtd_2015_0127,57000.0,57000.0,2493,1,,0,0,,15,50,15,50,PM,3,,3.0
5907,4,202343,603-MONTE DIABLO-PIXIE WOODS via LINCOLN-WATERFRONT,1,24497,26209,sjrtd_2015_0127,22680.0,22680.0,2852,1,,0,0,,6,18,6,18,AM,5,,5.0
5907,4,202347,603-MONTE DIABLO-PIXIE WOODS via LINCOLN-WATERFRONT,1,24495,26209,sjrtd_2015_0127,44100.0,44100.0,2852,1,,0,0,,12,15,12,15,MD,3,,3.0
5907,4,202350,603-MONTE DIABLO-PIXIE WOODS via LINCOLN-WATERFRONT,1,24496,26209,sjrtd_2015_0127,54900.0,54900.0,2852,1,,0,0,,15,15,15,15,PM,4,,4.0
5908,4,202357,613-QUAIL LAKES-MALL,0,24499,26211,sjrtd_2015_0127,20760.0,20760.0,3263,1,,0,0,,5,46,5,46,EA,1,1.0,1.0
5908,4,202358,614-FONTANA-COUNTRY CLUB-ROBINHOOD-MALLS,0,24500,26210,sjrtd_2015_0127,22200.0,22200.0,2577,1,,0,0,,6,10,6,10,AM,4,,4.0
5908,4,202362,614-FONTANA-COUNTRY CLUB-ROBINHOOD-MALLS,0,24500,26210,sjrtd_2015_0127,36900.0,36900.0,2577,1,,0,0,,10,15,10,15,MD,5,,5.0
5908,4,202367,614-FONTANA-COUNTRY CLUB-ROBINHOOD-MALLS,0,24491,26210,sjrtd_2015_0127,54300.0,54300.0,2577,1,,0,0,,15,5,15,5,PM,4,,4.0
5908,4,202354,614-FONTANA-COUNTRY CLUB-MALLS,0,24498,26212,sjrtd_2015_0127,69000.0,69000.0,2577,1,,0,0,,19,10,19,10,NT,1,1.0,1.0
5908,4,202372,SOUTHBOUND DOWNTOWN TRANSIT CENTER ARR A,1,24500,26213,sjrtd_2015_0127,20760.0,20760.0,2924,1,,0,0,,5,46,5,46,EA,1,1.0,1.0
5908,4,202373,612-QUAIL LAKES-PERSHING-COUNTRY CLUB-DTC,1,24499,26214,sjrtd_2015_0127,22200.0,22200.0,2854,1,,0,0,,6,10,6,10,AM,4,,4.0
5908,4,202377,612-QUAIL LAKES-PERSHING-COUNTRY CLUB-DTC,1,24501,26214,sjrtd_2015_0127,36900.0,36900.0,2854,1,,0,0,,10,15,10,15,MD,5,,5.0
5908,4,202370,612-QUAIL LAKES-PERSHING-COUNTRY CLUB-DTC,1,24437,26214,sjrtd_2015_0127,54900.0,54900.0,2854,1,,0,0,,15,15,15,15,PM,4,,4.0
5908,4,202369,SOUTHBOUND DOWNTOWN TRANSIT CENTER ARR A,1,24498,26217,sjrtd_2015_0127,71400.0,71400.0,2854,1,,0,0,,19,50,19,50,NT,1,1.0,1.0
5909,4,202384,632-BEN HOLT-DOUGLAS-PERSHING-MALLS,0,24502,26218,sjrtd_2015_0127,21900.0,21900.0,1622,1,,0,0,,6,5,6,5,AM,4,,4.0
5909,4,202387,632-BEN HOLT-DOUGLAS-PERSHING-MALLS,0,24441,26218,sjrtd_2015_0127,47100.0,47100.0,1622,1,,0,0,,13,5,13,5,MD,2,,2.0
5909,4,202389,632-BEN HOLT-DOUGLAS-PERSHING-MALLS,0,24441,26218,sjrtd_2015_0127,54300.0,54300.0,1622,1,,0,0,,15,5,15,5,PM,4,,4.0
5909,4,202395,631-PERSHING-BEN HOLT-CUMBERLAND,1,24502,26220,sjrtd_2015_0127,24000.0,24000.0,3153,1,,0,0,,6,40,6,40,AM,3,,3.0
5909,4,202396,631-PERSHING-BEN HOLT-CUMBERLAND,1,24441,26220,sjrtd_2015_0127,49200.0,49200.0,3153,1,,0,0,,13,40,13,40,MD,2,,2.0
