agency_raw_name,shape_id,shape_osm_node_id,shape_shst_node_id,shape_pt_sequence,osm_node_id,shst_node_id,shape_pt_lat,shape_pt_lon,shape_model_node_id
The Bus,p_3370,89409577,9506b5a313f75302bfe7b69cd5d4ca25,47,89409577.0,9506b5a313f75302bfe7b69cd5d4ca25,37.360432,-120.60735700000001,
The Bus,p_3370,89408348,523821abbbd55e2da8eff4f7c9e49e86,48,89408348.0,523821abbbd55e2da8eff4f7c9e49e86,37.360439,-120.60522,
The Bus,p_3370,89402014,9b5ae87d5504ce84e0e16b4212329ca0,49,89402014.0,9b5ae87d5504ce84e0e16b4212329ca0,37.360443000000004,-120.603896,
The Bus,p_3370,89409576,d3339ca3ed8bd821db96b1e2b323fc24,50,89409576.0,d3339ca3ed8bd821db96b1e2b323fc24,37.360452,-120.60136000000001,
The Bus,p_3370,89409572,c1461483a70a02d40aec3a7cf26632a8,51,89409572.0,c1461483a70a02d40aec3a7cf26632a8,37.360458,-120.599106,
The Bus,p_3370,89400142,e0436dae1cfcecccefc59ac324c31a1e,52,89400142.0,e0436dae1cfcecccefc59ac324c31a1e,37.360461,-120.597936,
The Bus,p_3370,89409571,3217e42ec9caa7c2904ac11376b9f606,53,89409571.0,3217e42ec9caa7c2904ac11376b9f606,37.360467,-120.595803,
The Bus,p_3370,89462667,33b447870e81534cb7b38d6e60c2a5a7,54,89462667.0,33b447870e81534cb7b38d6e60c2a5a7,37.360469,-120.593546,
The Bus,p_3370,89429706,9bedf36eefaaaf44c4f5cc98eef42234,55,89429706.0,9bedf36eefaaaf44c4f5cc98eef42234,37.360477,-120.591265,
The Bus,p_3370,89406536,40b0789ed648d1e7e41a47750dbfd5a9,56,89406536.0,40b0789ed648d1e7e41a47750dbfd5a9,37.360479000000005,-120.58855700000001,
The Bus,p_3370,89506044,31595ea5b83b07cfead116858523c969,57,89506044.0,31595ea5b83b07cfead116858523c969,37.3604775,-120.5869394,
The Bus,p_3370,2524477931,dc0cf5d28c85adcdf99c4ccd5932b06d,58,2524477931.0,dc0cf5d28c85adcdf99c4ccd5932b06d,37.3604817,-120.58602990000001,
The Bus,p_3370,89462678,b76fd809a4b01265b4294575237c87be,59,89462678.0,b76fd809a4b01265b4294575237c87be,37.360483,-120.58573600000001,
The Bus,p_3370,89462687,b60307a895bd0a419a21a4abfa282b61,60,89462687.0,b60307a895bd0a419a21a4abfa282b61,37.360507000000005,-120.58271500000001,
The Bus,p_3370,89462690,a68cb62443a753c9a19cd174d9c0ccc0,61,89462690.0,a68cb62443a753c9a19cd174d9c0ccc0,37.360507000000005,-120.58188500000001,
The Bus,p_3370,89462693,69cbcaff2d3266a9eae509411b16b2f6,62,89462693.0,69cbcaff2d3266a9eae509411b16b2f6,37.360508,-120.58076700000001,
The Bus,p_3370,89462694,e786c77cb155966bb520352e68280fa7,63,89462694.0,e786c77cb155966bb520352e68280fa7,37.360519100000005,-120.57901530000001,
The Bus,p_3370,5250308144,25019a0f49477b4f6ccd25c936687059,64,5250308144.0,25019a0f49477b4f6ccd25c936687059,37.3605164,-120.5782154,
The Bus,p_3370,5250308139,8ef676125fcf613bf7628f19ac98a1ea,65,5250308139.0,8ef676125fcf613bf7628f19ac98a1ea,37.3605152,-120.5778372,
The Bus,p_3370,558608186,ff25a1e49e2b4e744e14841bc2d4dfdb,66,558608186.0,ff25a1e49e2b4e744e14841bc2d4dfdb,37.3605097,-120.5766526,
The Bus,p_3370,5250308132,2a12c95c3ead3302c1ca3fdddd21b0dc,67,5250308132.0,2a12c95c3ead3302c1ca3fdddd21b0dc,37.361169000000004,-120.5766751,
The Bus,p_3370,5250309149,53d9551d6dfbe61ca1ccd165da95129d,68,5250309149.0,53d9551d6dfbe61ca1ccd165da95129d,37.3613148,-120.5766801,
The Bus,p_3370,5250309151,ebdc39de5a95492b2d9677a3636030ee,69,5250309151.0,ebdc39de5a95492b2d9677a3636030ee,37.3615834,-120.57668930000001,
The Bus,p_3370,5250308127,3fef5bc81ad433bcc0011612d2e0f236,70,5250308127.0,3fef5bc81ad433bcc0011612d2e0f236,37.362045900000005,-120.57670510000001,
The Bus,p_3370,2236157465,48f8b6238ef5ffab53dd38190a7b0639,71,2236157465.0,48f8b6238ef5ffab53dd38190a7b0639,37.362917700000004,-120.5766801,
The Bus,p_3370,2238851462,bc25c167ab9130432c51240cc52e33d0,72,2238851462.0,bc25c167ab9130432c51240cc52e33d0,37.3636503,-120.57566870000001,
The Bus,p_3370,2236365204,b6b2c5db6477a6550cf6a995b553a618,73,2236365204.0,b6b2c5db6477a6550cf6a995b553a618,37.3626317,-120.5746237,
The Bus,p_3370,2236365195,86b342e84fe2b8add0d484f32a199f22,74,2236365195.0,86b342e84fe2b8add0d484f32a199f22,37.3624926,-120.57269640000001,
The Bus,p_3370,2236365204,b6b2c5db6477a6550cf6a995b553a618,75,2236365204.0,b6b2c5db6477a6550cf6a995b553a618,37.3626317,-120.5746237,
The Bus,p_3370,2238851462,bc25c167ab9130432c51240cc52e33d0,76,2238851462.0,bc25c167ab9130432c51240cc52e33d0,37.3636503,-120.57566870000001,
The Bus,p_3370,2665090091,80d041ddfb18ad9614dd2eef018f349c,77,2665090091.0,80d041ddfb18ad9614dd2eef018f349c,37.3652852,-120.57670220000001,
The Bus,p_3370,2235908424,af3a8143c16d92471fb259caafdaa044,78,2235908424.0,af3a8143c16d92471fb259caafdaa044,37.3655722,-120.57670200000001,
The Bus,p_3370,2665090121,35d72846d0ac33d7e84438a0a5694d34,79,2665090121.0,35d72846d0ac33d7e84438a0a5694d34,37.3661529,-120.57670150000001,
The Bus,p_3370,2665090088,047ef05cca8845e33e7a34669e2de81a,80,2665090088.0,047ef05cca8845e33e7a34669e2de81a,37.3661544,-120.5769853,
The Bus,p_3370,2665090085,b45dac14a24cdc1efc32b13dae4f7244,81,2665090085.0,b45dac14a24cdc1efc32b13dae4f7244,37.3661593,-120.5778678,
The Bus,p_3370,2665090088,047ef05cca8845e33e7a34669e2de81a,82,2665090088.0,047ef05cca8845e33e7a34669e2de81a,37.3661544,-120.5769853,
The Bus,p_3370,2665090121,35d72846d0ac33d7e84438a0a5694d34,83,2665090121.0,35d72846d0ac33d7e84438a0a5694d34,37.3661529,-120.57670150000001,
The Bus,p_3370,2235908424,af3a8143c16d92471fb259caafdaa044,84,2235908424.0,af3a8143c16d92471fb259caafdaa044,37.3655722,-120.57670200000001,
The Bus,p_3370,2665090091,80d041ddfb18ad9614dd2eef018f349c,85,2665090091.0,80d041ddfb18ad9614dd2eef018f349c,37.3652852,-120.57670220000001,
The Bus,p_3370,2238851462,bc25c167ab9130432c51240cc52e33d0,86,2238851462.0,bc25c167ab9130432c51240cc52e33d0,37.3636503,-120.57566870000001,
The Bus,p_3370,2236157465,48f8b6238ef5ffab53dd38190a7b0639,87,2236157465.0,48f8b6238ef5ffab53dd38190a7b0639,37.362917700000004,-120.5766801,
The Bus,p_3370,5250308127,3fef5bc81ad433bcc0011612d2e0f236,88,5250308127.0,3fef5bc81ad433bcc0011612d2e0f236,37.362045900000005,-120.57670510000001,
The Bus,p_3370,5250309151,ebdc39de5a95492b2d9677a3636030ee,89,5250309151.0,ebdc39de5a95492b2d9677a3636030ee,37.3615834,-120.57668930000001,
The Bus,p_3370,5250309149,53d9551d6dfbe61ca1ccd165da95129d,90,5250309149.0,53d9551d6dfbe61ca1ccd165da95129d,37.3613148,-120.5766801,
The Bus,p_3370,5250308132,2a12c95c3ead3302c1ca3fdddd21b0dc,91,5250308132.0,2a12c95c3ead3302c1ca3fdddd21b0dc,37.361169000000004,-120.5766751,
The Bus,p_3370,558608186,ff25a1e49e2b4e744e14841bc2d4dfdb,92,558608186.0,ff25a1e49e2b4e744e14841bc2d4dfdb,37.3605097,-120.5766526,
