route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,tts_trip_headsign,tts_trip_short_name
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_20,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_21,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_3,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_4,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_5,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_6,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_7,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_8,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962843_b_33141_tn_9,,,0,,p_111317,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962847_b_33141_tn_0,,,0,,p_111349,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962848_b_33141_tn_0,,,0,,p_111353,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962849_b_33141_tn_0,,,0,,p_111354,,,,,,,,,,,,
1201,c_23877_b_33141_d_31,t_1962850_b_33141_tn_0,,,0,,p_111354,,,,,,,,,,,,
1201,c_23877_b_33141_d_96,t_1962855_b_33141_tn_6,,,0,,p_111349,,,,,,,,,,,,
1201,c_23877_b_33141_d_96,t_1962855_b_33141_tn_1,,,0,,p_111349,,,,,,,,,,,,
1201,c_23877_b_33141_d_96,t_1962857_b_33141_tn_0,,,0,,p_111354,,,,,,,,,,,,
1201,c_23877_b_33141_d_96,t_1962855_b_33141_tn_2,,,0,,p_111349,,,,,,,,,,,,
1201,c_23877_b_33141_d_96,t_1962855_b_33141_tn_3,,,0,,p_111349,,,,,,,,,,,,
1201,c_23877_b_33141_d_96,t_1962855_b_33141_tn_4,,,0,,p_111349,,,,,,,,,,,,
1201,c_23877_b_33141_d_96,t_1962855_b_33141_tn_5,,,0,,p_111349,,,,,,,,,,,,
1201,c_23877_b_33141_d_96,t_1962856_b_33141_tn_0,,,0,,p_111353,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_22,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_1,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_10,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_11,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_12,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_13,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_14,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_15,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_16,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_17,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_18,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_19,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_2,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_20,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_21,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_23,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_24,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_25,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_3,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_4,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_5,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_6,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_7,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_8,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962858_b_33141_tn_9,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962859_b_33141_tn_0,,,0,,p_4521,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962860_b_33141_tn_1,,,0,,p_111356,,,,,,,,,,,,
1202,c_23877_b_33141_d_31,t_1962860_b_33141_tn_2,,,0,,p_111356,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962862_b_33141_tn_0,,,0,,p_111356,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962861_b_33141_tn_1,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962861_b_33141_tn_2,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962861_b_33141_tn_3,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962861_b_33141_tn_4,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962861_b_33141_tn_5,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962861_b_33141_tn_6,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962861_b_33141_tn_7,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962861_b_33141_tn_8,,,0,,p_3406,,,,,,,,,,,,
1202,c_23877_b_33141_d_96,t_1962861_b_33141_tn_9,,,0,,p_3406,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_18,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_19,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_2,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_20,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_21,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_22,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_23,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_24,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_25,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_3,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_4,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_5,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_6,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_7,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_8,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_9,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962868_b_33141_tn_0,,,0,,p_3391,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962871_b_33141_tn_1,,,0,,p_111357,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962871_b_33141_tn_2,,,0,,p_111357,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962872_b_33141_tn_2,,,0,,p_3412,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962872_b_33141_tn_1,,,0,,p_3412,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_1,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_10,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_11,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_12,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_13,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_14,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_15,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_16,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_31,t_1962863_b_33141_tn_17,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_96,t_1962865_b_33141_tn_2,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_96,t_1962865_b_33141_tn_1,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_96,t_1962865_b_33141_tn_3,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_96,t_1962865_b_33141_tn_4,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_96,t_1962865_b_33141_tn_5,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_96,t_1962865_b_33141_tn_6,,,0,,p_3413,,,,,,,,,,,,
1203,c_23877_b_33141_d_96,t_1962866_b_33141_tn_0,,,0,,p_3411,,,,,,,,,,,,
1203,c_23877_b_33141_d_96,t_1962870_b_33141_tn_0,,,0,,p_111357,,,,,,,,,,,,
1204,c_23877_b_33141_d_112,t_1962887_b_33141_tn_0,,,0,,p_3419,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_1,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962884_b_33141_tn_0,,,0,,p_3380,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_10,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_11,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_12,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_13,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_14,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_15,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_16,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_17,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_18,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_19,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_2,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_20,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_21,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_22,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_23,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_24,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_25,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_3,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_4,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_5,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_6,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_7,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_8,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962875_b_33141_tn_9,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962876_b_33141_tn_0,,,0,,p_3420,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962879_b_33141_tn_0,,,0,,p_3389,,,,,,,,,,,,
1204,c_23877_b_33141_d_31,t_1962878_b_33141_tn_0,,,0,,p_3419,,,,,,,,,,,,
1204,c_23877_b_33141_d_96,t_1962885_b_33141_tn_6,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_96,t_1962885_b_33141_tn_4,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_96,t_1962885_b_33141_tn_3,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_96,t_1962885_b_33141_tn_1,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_96,t_1962885_b_33141_tn_2,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_96,t_1962885_b_33141_tn_5,,,0,,p_3421,,,,,,,,,,,,
1204,c_23877_b_33141_d_96,t_1962886_b_33141_tn_0,,,0,,p_3380,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_16,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_9,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_8,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_7,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_6,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_5,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_4,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_3,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_25,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_24,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_23,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_22,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_21,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_20,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_2,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_19,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_18,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_17,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_15,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_14,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_13,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_12,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_11,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_10,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962896_b_33141_tn_1,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962895_b_33141_tn_2,,,0,,p_3409,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962895_b_33141_tn_1,,,0,,p_3409,,,,,,,,,,,,
1205,c_23877_b_33141_d_31,t_1962894_b_33141_tn_0,,,0,,p_3362,,,,,,,,,,,,
1205,c_23877_b_33141_d_96,t_1962898_b_33141_tn_3,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_96,t_1962898_b_33141_tn_4,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_96,t_1962898_b_33141_tn_5,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_96,t_1962898_b_33141_tn_6,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_96,t_1962898_b_33141_tn_7,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_96,t_1962898_b_33141_tn_8,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_96,t_1962898_b_33141_tn_9,,,0,,p_3410,,,,,,,,,,,,
1205,c_23877_b_33141_d_96,t_1962899_b_33141_tn_0,,,0,,p_3408,,,,,,,,,,,,
